Date,Open,High,Low,Close,Volume
08/28/2023,"2,474.00","2,483.50","2,432.00","2,442.55","349,403"
08/25/2023,"2,454.00","2,505.00","2,443.95","2,469.95","1,212,903"
08/24/2023,"2,542.00","2,542.00","2,471.60","2,478.65","302,604"
08/23/2023,"2,527.95","2,542.40","2,518.05","2,523.15","157,329"
08/22/2023,"2,518.25","2,537.45","2,498.55","2,519.00","115,990"
08/21/2023,"2,531.00","2,554.90","2,513.55","2,518.25","156,076"
08/18/2023,"2,532.00","2,577.00","2,508.50","2,556.70","1,144,311"
08/17/2023,"2,568.00","2,577.95","2,532.20","2,537.75","139,614"
08/16/2023,"2,556.65","2,582.15","2,550.65","2,574.90","87,871"
08/14/2023,"2,533.05","2,582.00","2,524.20","2,576.75","407,900"
08/11/2023,"2,535.45","2,558.30","2,512.10","2,548.00","297,470"
08/10/2023,"2,527.00","2,550.00","2,508.80","2,535.65","200,827"
08/09/2023,"2,507.00","2,529.40","2,481.00","2,523.55","212,798"
08/08/2023,"2,525.30","2,534.60","2,499.45","2,505.65","151,755"
08/07/2023,"2,515.00","2,528.35","2,505.05","2,523.45","293,130"
08/04/2023,"2,485.00","2,517.20","2,472.00","2,510.15","709,795"
08/03/2023,"2,471.45","2,499.90","2,458.00","2,474.95","210,947"
08/02/2023,"2,500.00","2,511.80","2,463.20","2,486.35","184,490"
08/01/2023,"2,547.85","2,559.00","2,505.90","2,512.65","170,213"
07/31/2023,"2,527.90","2,553.65","2,518.75","2,547.85","85,020"
